보스	건수	주는 아이템
감시자 리퍼	17	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 제니스 퀸의 망토(전설) · 시어의 심안(전설) · 불신의 각반(전설) · 뱀파이어의 망토(전설) · 쿠거의 가죽 부츠(전설) · 리치 로브(전설) · 리치의 반지(전설)
거대 에오르트의 장난감	2	공허의 활(전설) · 공허의 활(전설)
거대 에오르트의 태엽인형	10	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 마법서 (스톱)(전설) · 마법서 (스톱)(전설) · 하딘 마법인형 카드(전설) · 하딘 마법인형 카드(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설)
검은 망령 라이오스	14	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (드래곤 로어)(전설) · 검은 망령의 장갑(전설) · 검은 망령의 장갑(전설) · 검은 망령의 부츠(전설) · 검은 망령의 부츠(전설) · 검은 망령의 갑옷(전설) · 검은 망령의 갑옷(전설) · 검은 망령 라이오스 변신 카드(전설) · 청야의 전투 군주 첼로스 변신 카드(전설)
게이트 키퍼 락샤르	6	전설 제작 비법서(전설) · 심판관의 정수(전설) · 마격서 (라이즈 : 오디엄)(전설) · 수행서 (영체 묶기)(전설) · 심연의 사이드(전설) · 돌파석 결정(신화)
결속의 데스나이트	5	데스나이트의 불검(전설) · 전설 무기 제작 비법서(전설) · 데스나이트의 정수(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (카운터 배리어 : 베테랑)(전설)
결속의 에이션트 고블린	1	전설 제작 비법서(전설)
결속의 에이션트 드레이크	3	전설 방어구 제작 비법서(전설) · 에번트의 망토(전설) · 성서 (홀리 부스터 : 디바인)(전설)
결속의 에이션트 자이언트	4	전설 제작 비법서(전설) · 심판관의 정수(전설) · 데컨의 목걸이(전설) · 결속의 에이션트 자이언트 처치 증표(전설)
고블린	10	안타라스의 정수(전설) · 안타라스의 정수(전설) · 드래곤 슬레이어 검 조각(전설) · 드래곤 슬레이어 검 조각(전설) · 드래곤 슬레이어 검 조각(전설) · 드래곤 슬레이어 검 조각(전설) · 지룡의 비늘(전설) · 지룡의 비늘(전설) · 지룡의 비늘(전설) · 지룡의 비늘(전설)
공포의 뱀파이어	5	마법서 (미티어 스트라이크)(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 뱀파이어의 망토(전설) · 검은 망령 라이오스 변신 카드(전설)
광란의 제니스 퀸	9	전설 제작 비법서(전설) · 심판관의 정수(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 제니스 퀸의 망토(전설) · 성서 (홀리 부스터 : 디바인)(전설) · 귀혼서 (월혼격 : 극)(전설) · 신화 제작 비법서(신화) · 사신의 투구(신화) · 돌파석 결정(신화)
광신야	14	전설 제작 비법서(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 심판관의 정수(전설) · 마법서 (스톱)(전설) · 마법서 (스톱)(전설) · 성서 (홀리 부스터 : 디바인)(전설) · 성서 (홀리 부스터 : 디바인)(전설) · 귀혼서 (요기 개방)(전설) · 귀혼서 (요기 개방)(전설) · 기술서 (오러 블레이드)(전설) · 혈법서 (블러드 포스 : 크림슨)(전설) · 대학살의 사이드(전설) · 돌파석 결정(신화)
광풍의 샤스키	6	침묵의 대검(전설) · 전설 방어구 제작 비법서(전설) · 심판관의 정수(전설) · 정령의 수정 (소울 오브 프레임: 스피릿)(전설) · 마격서 (카운터 베인 : 오디엄)(전설) · 수행서 (영체 타격 : 탄트라)(전설)
괴력의 킹 버그베어	1	검은 망령의 갑옷(전설)
굴복된 도전자	1	전설 제작 비법서(전설)
균열의 에오르트	1	공허의 활(전설)
균열의 하딘	3	전설 제작 비법서(전설) · 심판관의 정수(전설) · 마법서 (스톱)(전설)
그레이트 미노타우르스	7	전설 제작 비법서(전설) · 심판관의 정수(전설) · 흑정령의 수정 (아머 브레이크)(전설) · 전사의 인장 (퓨리 : 라이징)(전설) · 청년 반 변신 카드(전설) · 그레이트 미노타우르스 마법인형 카드(전설) · 귀혼서 (반기 : 극)(전설)
네크로맨서	4	마법서 (스펙터)(전설) · 전설 방어구 제작 비법서(전설) · 네크로맨서의 정수(전설) · 마법서 (이뮨 투 함 : 에이션트)(전설)
네크로스	1	마법서 (미티어 스트라이크)(전설)
다이아몬드 골렘	9	마법서 (앱솔루트 배리어)(전설) · 전설 무기 제작 비법서(전설) · 심판관의 정수(전설) · 혈령의 태도(전설) · 전술 교본 (턴 택틱스 : 트루퍼)(전설) · 마격서 (라이즈 : 오디엄)(전설) · 성서 (저지먼트 스턴 : 강화 디바인)(전설) · 수행서 (영체화 : 탄트라)(전설) · 영혼 결정 (소울 배리어)(전설)
대흑장로	2	심판관의 정수(전설) · 정령의 수정 (소울 오브 프레임: 스피릿)(전설)
데몬	7	전설 제작 비법서(전설) · 심판관의 정수(전설) · 영혼 결정 (카오스 미라쥬)(전설) · 혈령의 태도(전설) · 마법서 (데스힐: 에이션트)(전설) · 수행서 (선고 : 탄트라)(전설) · 기술서 (오러 가드)(전설)
데스나이트	6	데스나이트의 불검(전설) · 전설 무기 제작 비법서(전설) · 데스나이트의 정수(전설) · 기술서 (드래곤 로어)(전설) · 기술서 (카운터 배리어 : 베테랑)(전설) · 수행서 (명부 사자)(전설)
데컨 6세	7	반역자의 방패(전설) · 마법서 (스펙터)(전설) · 전설 제작 비법서(전설) · 심판관의 정수(전설) · 병법서 (블러드 유니온)(전설) · 영혼 결정 (길로틴: 어비스)(전설) · 신화 제작 비법서(신화)
도전자	1	전설 제작 비법서(전설)
두목 하그마	2	마법서 (미티어 스트라이크)(전설) · 하그마의 벨트(전설)
