분류	한국어	中文	English	티어
보스	감시자 리퍼	監視者死神	Reaper Watchman	
보스	거대 미믹	巨大密密	Giant Mimic	
보스	거대 에오르트의 장난감	巨大艾奧特的玩具	Giant Eort's Toy	
보스	거대 에오르트의 태엽인형	巨大艾奧特的發條人偶	Giant Eort's Wind-Up Toy	
보스	검은 망령 라이오스	黑色亡靈萊奧斯	Black Revenant Laius	
보스	게이트 키퍼 락샤르	守門人拉克沙爾	Gate Keeper Rakshar	
보스	결속의 데스나이트	團結之死亡騎士	Death Knight of Solidarity	
보스	결속의 에이션트 고블린	團結之古代哥布林	Ancient Goblin of Solidarity	
보스	결속의 에이션트 드레이크	團結之古代飛龍	Ancient Drake of Solidarity	
보스	결속의 에이션트 자이언트	團結之古代巨人	Ancient Giant of Solidarity	
보스	고블린	哥布林	Goblin	
보스	공포의 뱀파이어	恐怖的吸血鬼	Vampire of Terror	
보스	광란의 제니스 퀸	狂亂的傑尼斯女王	Queen Zenith of Madness	
보스	광신야	狂神夜	Psycho Primate	
보스	광풍의 샤스키	狂風的夏斯奇	Shasky the Galecutter	
보스	괴력의 킹 버그베어	怪力食人妖王	Antaean King Bugbear	
보스	굴라	古拉	Gula	
보스	굴복된 도전자	被屈服的挑戰者	Subjugated Challenger	
보스	굴복된 침묵의 군주	被屈服的沉默的君主	Subjugated Silent Lord	
보스	균열의 에오르트	裂痕的艾奧特	Eort of the Rift	
보스	균열의 하딘	裂痕的哈汀	Hardin of the Rift	
보스	그레이트 미노타우르스	巨大牛人	Great Minotaur	
보스	네크로맨서	巫師	Necromancer	
보스	네크로스	奈克偌斯	Necros	
보스	다이아몬드 골렘	鑽石高崙	Diamond Golem	
보스	대흑장로	大黑長者	High Dark Stygian	
보스	데몬	惡魔	Demon	
보스	데스나이트	死亡騎士	Death Knight	
보스	데컨 6세	德肯6世	Dekern VI	
보스	도전자	挑戰者	Challenger	
보스	두목 하그마	頭目哈格瑪	Boss Hagma	
보스	뒤틀린 실렌	扭曲的席琳	Twisted Shilen	
보스	뒤틀린 에오르트	扭曲的艾奧特	Twisted Eort	
보스	땅의 대정령	地精靈王	Great Earth Spirit	
보스	라돈	拉敦	Rahdon	
보스	라트모르	菈特莫爾	Latmor	
보스	마담 바르보사	巴爾博薩夫人	Madame Barbosa	
보스	마령군왕 라이아	法令軍王蕾雅	Phantom Queen Laya	
보스	마수군왕 바란카	魔獸軍王巴蘭卡	Beast King Varanka	
보스	마이노	瑪依奴	Mino	
보스	망령 크리퍼스	亡靈可利波斯	Death Shadow Creepus	
보스	맹약의 라인하르트	盟約的萊茵哈德	Oathkeeper Reinhardt	
보스	메타트론	梅塔特隆	Metatron	
보스	명법군왕 헬바인	冥法軍王海露拜	Dark King Helbain	
보스	무화	霧華	Muhwa	
보스	물의 대정령	水精靈王	Great Water Spirit	
보스	바람의 대정령	風精靈王	Great Wind Spirit	
보스	바위 삼킨 고르쏜	吞噬岩石的戈爾森	Rock Swallowing Gorthorne	
보스	바포메트	巴風特	Capricus	
보스	발록	炎魔	Barlog	
보스	베레스	巴列斯	Vereth	
보스	변이된 지룡의 고블린 노예	變異的地龍哥布林奴隸	Mutated Earth Dragon's Goblin Slave	
보스	보물 상자	寶物箱	Treasure Chest	
