한국어	이미지
구원의 향로	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_PA_M_Salvation.png
귀혼서 (요기 낙뢰)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_6_Mythic.png
근원의 성배	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_BC_F_Noble.png
기술서 (쇼크 스턴 : 강화 베테랑)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/skillbook_Mythic.png
대전사의 울림	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_WA_Mythic_1.png
대지의 발자국	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_AncientGiant.png
돌파석 결정	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Material_Stone_Base.png
린드비오르의 마력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_LindviorInt.png
린드비오르의 마력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_LindviorInt.png
린드비오르의 완력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_LindviorStr.png
린드비오르의 완력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_LindviorStr.png
린드비오르의 인내력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_LindviorDex.png
린드비오르의 인내력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_LindviorDex.png
마격서 (데스 필드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Fistskillbook_GU_6.png
마법서 (데스 둠)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellbook_Mythic.png
병법서 (임페리얼 로드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/strategybook_Mythic.png
블루디카의 맹독	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_DA_Bluedika.png
사신의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_GrimReaper.png
섬광의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_HellFire.png
성서 (크루세이더)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Holyknightskillbook_GU_6.png
수행서 (천도재)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_PathfinderSpellbook_6_Mythic.png
신성의 헤일로	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Holy.png
신화 제작 비법서	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/precious_manual_04.png
실렌의 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Boots_Silen.png
안타라스의 마력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_AntarasInt.png
안타라스의 마력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_AntarasInt.png
안타라스의 완력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_AntarasStr.png
안타라스의 완력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_AntarasStr.png
안타라스의 인내력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_AntarasDex.png
안타라스의 인내력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_AntarasDex.png
얼음 여왕의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_IceQueen.png
염왕의 진언	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cha_Yama.png
영혼 결정 (카오스 블레이드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SoulCrystal_SU_6_Mythic.png
오시리스의 벨트	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Waist_Osiris_01.png
요귀의 주인	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Dbla_Demonlord.png
우그누스의 충절	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Ugnus_Myth.png
이실로테의 보호	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cloak_Ishilotte.png
재앙의 마력포	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Calamity.png
전사의 인장 (뱅가드)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Signetstone_WA_6_Mythic.png
전술 교본 (버닝 실루엣)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Gunskillbook_GU_6.png
정령의 수정 (셰이프 체인지)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/spellcrystal_normal_Mythic.png
제브 레퀴의 송곳니	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Neck_Zebrequi_01.png
천귀의 보주	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_CelestialFiendOrb.png
칠흑의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_PitchDarkness.png
타이탄의 분노	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Daxe_Anger.png
파푸리온의 마력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_FafurionInt.png
파푸리온의 마력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_FafurionInt.png
파푸리온의 완력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_FafurionStr.png
파푸리온의 완력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_FafurionStr.png
파푸리온의 인내력	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_FafurionDex.png
파푸리온의 인내력 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_FafurionDex.png
포식자의 사이드	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Scythe_Noblesse.png
혈법서 (서먼 가디언 : 크림슨)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_BloodCasterSpellbook_6_Mythic.png
흑정령의 수정 (일루젼 스텝)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/SpellCrystal_DA_6_Mythic.png
갈망의 헤일로	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_Yearning.png
감시자의 반지	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Finger_WatcherReaper.png
검은 망령의 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_KN_M_Father_Boss.png
검은 망령의 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_KN_M_Father_Boss.png
검은 망령의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_KN_M_Father_Boss.png
검은 망령의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_KN_M_Father_Boss.png
격류의 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_TC.png
격류의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_TC.png
격분의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_Fury.png
고대 신의 도끼	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Daxe_God.png
고대 신의 성검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hswd_Elder.png
고대 신의 챠크람	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Cha_Elder.png
공포의 귀걸이	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Ear_Fear.png
공허의 활	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Bow_VoidBow.png
광폭의 성검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hswd_Berserk.png
군단의 대검	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_LSwd_LASLegend.png
군왕의 활	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Bow_LASLegend.png
권능의 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_Power.png
권능의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_Power.png
귀혼서 (강령술 : 극)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_5_Legend.png
귀혼서 (강림)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_5_Legend.png
귀혼서 (반기 : 극)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_5_Legend.png
귀혼서 (양기 호흡 : 극)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_5_Legend.png
귀혼서 (요기 개방)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_5_Legend.png
귀혼서 (월혼격 : 극)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_5_Legend.png
귀혼서 (적월경)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_5_Legend.png
귀혼서 (화형술)	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/Item_DemonBladerSpellbook_5_Legend.png
균열의 마수	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Fist_Chaos.png
그림자단의 가더	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Shield_DA_Shadow.png
극한의 갑옷	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Torso_IntenseCold.png
극한의 부츠	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Foot_IntenseCold.png
극한의 장갑	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Hand_IntenseCold.png
극한의 투구	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Head_IntenseCold.png
긍지의 각반	https://assets.playnccdn.com/gamedata/powerbook/linw/Item/item_Leg_Pride.png
